"gg23_source_application_id","gg23_source_project_id","gg23_participation_id","gg23_project_name","match_status","spark_candidate_project_entity_id","spark_candidate_project_name","canonical_action","final_project_entity_id","project_id_source","confirmed_by","confirmed_at","allocation_notes","gg23_payout_address","gg23_website","gg23_project_twitter","gg23_project_github","gg23_user_github"
"1","0x259f07aac8cd509f6d85fa895ce31b9573bb0f93d0999ae42492ee2f24dc995e","DSPT-00050","DeSci Asia","confirmed","DSPJ-0029","DeSci Asia","reuse_existing_project_entity_id","DSPJ-0029","spark_confirmed_match","Swift Evo","2026-06-25","Human confirmed GG23 project matches existing Spark project.","0xCc5437c25caD0b23Dd88118d054DA19dBEc52CEA","https://twitter.com/desciasia/","DeSciAsia","DeSci-Asia","Swiftevo"
"3","0x35f9aece09f098592799f02d72f26fa17199d9c56b33d06baf457d3c079eb9aa","DSPT-00051","FunDeSci (DeSci Fundraising platfrom)","confirmed","DSPJ-0049","FunDeSci","reuse_existing_project_entity_id","DSPJ-0049","spark_confirmed_match","Swift Evo","2026-06-25","Human confirmed GG23 project matches existing Spark project.","0x7892e0143dD30e8594E0be83367Da43A1D7DB22A","https://app.fundesci.com","Fundesci","",""
"4","0x9a9cda60bcd1b566669a6e03d79dcea4be966ebdef25dc9754cbd4170e99c61f","DSPT-00052","LunCo: Metaverse for Space Engineers","new_project","DSPJ-0028","LORS","assign_new_project_entity_id","DSPJ-0050","new_project_related_to_existing_spark_project","Swift Evo","2026-06-25","Assign new project ID to LunCo while preserving relationship note: LORS is one of LunCo projects; Spark participation was LORS directly, not LunCo directly.","0x40891ce6e8574bb9118913a8a304195437f36213","https://lunco.space/","LunCoSim","LunCoSim","Difint"
"5","0x679eb72b7da72b6129c1bb59a5b3345d9dad0dfc459e9fae5e699196694dba84","DSPT-00053","DeSci Youths","new_project","","","assign_new_project_entity_id","DSPJ-0051","new_project_after_review","Swift Evo","2026-06-25","Human review marked this as a new project candidate.","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","https://gap.karmahq.xyz/project/desci-youths","desciyouths","",""
"6","0x1e02a0e04d50cf883c942415cdcd5fb184300a91f4bc84eb583cebaad56ff7eb","DSPT-00054","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","confirmed","DSPJ-0043","Regen Reef Fish","reuse_existing_project_entity_id","DSPJ-0043","spark_confirmed_match","Swift Evo","2026-06-28","Human confirmed GG23 project matches existing Spark project.","0x1a86E43939fEF6234b353AB6606F0b56475420dC","https://linktr.ee/mesoreefdao","MesoReefDAO","MesoReefDAO","robioreefeco"
"8","0xae22739594e490cb7b044c4be01411a73e0c6b730c8edcf74a897478d06f8f5d","DSPT-00055","AsteriskDAO","confirmed","DSPJ-0045","Asterisk Women Health","reuse_existing_project_entity_id","DSPJ-0045","spark_confirmed_match","Swift Evo","2026-06-28","Human confirmed GG23 project matches existing Spark project.","0x1305fAb828dACE590FF466680ba9B0349f50674C","https://asteriskdao.xyz","asteriskdao","AsteriskDAO","vmkirin"
"9","0x6b947b5d6e57b03e835f56985a74c33a62d4d3cadf0e15441a86277ab3142f76","DSPT-00056","The DeSci Journals v4 (Celo)","confirmed","DSPJ-0040","DeSci Reviews","reuse_existing_project_entity_id","DSPJ-0040","spark_confirmed_match","Swift Evo","2026-06-28","Human confirmed GG23 project matches existing Spark project.","0x9b9dbC177fbE6A32bBc92A44B04B5d6711e151de","https://platform.desci.reviews","desciers","deScier","GoretiFreitas"
"11","0xf12e32cfadf6ae81f997cc9e3d9fe8e435589e3003408f536034e682aae3dd88","DSPT-00057","Astral","new_project","","","assign_new_project_entity_id","DSPJ-0052","new_project_after_review","Swift Evo","2026-06-28","Human review marked this as a new project candidate.","0xAd86Bb16d1b74FfAbb9Fc668B83251F831763247","https://astral.global","AstralProtocol","AstralProtocol","johnx25bd"
"14","0xa110256c45bff5fb3781ec2681dd1be37a25c4a7c9e8200b6f695ca42889f43f","DSPT-00058","HyperDeSci Ops | Summoning $MEGAPI","confirmed","DSPJ-0021","CCGF","reuse_existing_project_entity_id","DSPJ-0021","spark_confirmed_match","Swift Evo","2026-06-28","Human confirmed GG23 project matches existing Spark project.","0x93da5340b7049fFf4a65e5C3146e709a594113c4","https://hyperdesci.xyz/","HyperDeSci","HyperDeSci",""
"15","0x878e85001221af5cab52d50c488befcba883ee27282fcf8db1811e2366c9dc0b","DSPT-00059","Hyvmind","confirmed","DSPJ-0005","hyvmind","reuse_existing_project_entity_id","DSPJ-0005","spark_confirmed_match","Swift Evo","2026-06-28","Human confirmed GG23 project matches existing Spark project.","0x5D21f6803902A93018eCcA706cb3f853aDa1CCd2","https://hyvmind.xyz","anshuman_ecc","","anshuman-ecc-eth/"
