"participation_id","project_entity_id","funding_round_id","platform","round_family","source_round_name","source_season","source_project_name","source_project_id","source_application_id","source_status","source_url","application_status","payout_address","grant_address","raw_text","application_summary","what_are_you_making","impact","progress","why_you","requested_amount_usd","raised_amount_usd","matching_amount_usd","final_amount_usd","donor_count","unique_donor_count","vote_count","funding_rank","review_status","review_score_avg","review_score_min","review_score_max","review_score_disagreement","tiebreaker_used","review_decision","match_status","matched_project_entity_id","confirmed_by","confirmed_at","github_path","obsidian_path","created_at_source","last_edited_source","source_specific_fields_json"
"DSPT-00001","DSPJ-0001","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Edge Esmeralda Vital Futures Track","","","","https://artizen.fund/index/p/edge-esmeralda-vital-futures-track?season=6","unknown","","","[WHAT]
We're building a health track that will be an intense week of learning and testing cutting-edge health ideas and projects. These funds will help key participants joining and support experiments in the health space coming to life.

[IMPACT]
Cities are making people sick and urban environments have more unhealthy people than ever before. Your environment determines your health, and we want to inspire people to build healthier environments and have people test how to actually live in them

[PROGRESS]
This will be the 3rd year of the Edge Esmeralda health track. Edge City has created over 8 pop-up villages that have health as a top 4 priority and we've helped impact over 11,000 lives with the health by default philosophy.

[WHY]
I've helped run this track every year.","","Health-focused experimental track at Edge Esmeralda","Promotes healthier environments and lifestyle experimentation","3rd year running, 11,000+ impacted","Organizer with experience running the track","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0001","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00002","DSPJ-0002","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Narrative Audits for Public-Goods","","","","https://artizen.fund/index/p/narrative-audits-a-public-goods-story-infra?season=6","unknown","","","[WHAT]
I stress-test narratives in Web3: this funding makes the work a public good (not for lazy startups).

(a) Samaritans: flag a project whose claims don't add up.
(b) Commons: free narrative audit for public goods projects.

All audits to be public.

[IMPACT]
(a) Protect users from projects that look professional but don't hold up: claims that don't match evidence, credentials that don't verify, traction that doesn't exist.

(b) Help public goods projects communicate so their work gets used and funded.

[PROGRESS]
Narrative audits delivered for Blockchain foundations, DeFi protocols, tech infra.

Methodology developed through CLEA research and proven through industry work. 2x hackathon winner in 2025 (Web3 Summit Berlin, Funding the Commons).

Ready to scale.

[WHY]
Years ghostwriting for Web3 protocols: whitepapers, manifestos, marketing strategy. I know what to spot because I've built the narratives from the inside.

Affiliated researcher at CLEA Cybernetic Lab. 
Storyteller for 10 years across industries.","","I stress-test narratives in Web3...","Protect users from misleading projects and help public goods communicate better","Delivered audits for blockchain foundations and DeFi protocols; hackathon wins","Experienced Web3 ghostwriter and researcher","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0002","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00003","DSPJ-0003","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","LLM Evaluators in PGF","","","","https://artizen.fund/index/p/utilising-llm-evaluators-in-public-goods-funding-pg?season=6","unknown","","","[WHAT]
We are building a methodology that reads funding applications and helps decide who should get money for public good projects, instead of paying many humans to do it.

[IMPACT]
By cutting evaluation costs in public goods funding rounds, more money goes directly to climate, community, and social impact projects, helping regenerate ecosystems and support real-world change.

[PROGRESS]
We designed the full research plan, selected five LLM models, defined RBTS vs averaging tests, mapped token costs, identified 5 past rounds to study, and assembled an AI and PGF-focused team.

[WHY]
Our team combines 20+ years in IT, AI engineering expertise, blockchain and PGF experience. This research will lead us to seek consultations from human funding round evaluators to get an insight into their evaluation system.","","LLM-based evaluation system for funding proposals","Reduces cost of funding rounds","Research design completed","AI + PGF experienced team","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0003","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00004","DSPJ-0004","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","DeSci Bridge","","","","https://artizen.fund/index/p/desci-bridge?season=6","unknown","","","[WHAT]
To lower the barrier to entry into DeSci. We unite existing platforms and projects into one accessible hub. No more scattered resources or wondering where to start. Everything you need is collated, collaborative and community-driven.

[IMPACT]
DeSci Bridge helps researchers, students and builders worldwide access knowledge, collaborate across borders and actively contribute to decentralized science.

[PROGRESS]
We just launched and we have partnered with AuraSci. We have curated DeSci educational series as the recommended starter course on DeSci Bridge to onboard researchers, students and builders  into the DeSci ecosystem

[WHY]
As a biomedical engineer and AI researcher, I understand how research actually works. As a community builder, content developer and contributor to DeSci protocols, I know how to onboard people and turn learning into participation.","","Onboarding hub for DeSci","Improves accessibility and collaboration","Launched + partnerships","Biomedical engineer + community builder","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0004","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00005","DSPJ-0005","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","hyvmind","","","","https://artizen.fund/index/p/hyvmind?season=6","unknown","","","[WHAT]
a place where legal researchers can collaborate via smol and verifiable contributions

[IMPACT]
it will make legal AI transparent, ethical and sustainable by giving ownership back to knowledge creators

[PROGRESS]
formulated the initial vision in a whitepaper (2024), started work the interface (2025), openly building the prototype (2026..)

[WHY]
been an interdisciplinary legal researcher for 18 years, and academic for 8","","Collaborative platform for legal research","Improves transparency in legal AI","Whitepaper + prototype","18-year legal researcher","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0005","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00006","DSPJ-0006","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","ANTS Journal","","","","https://artizen.fund/index/p/ants-journal-for-art-nature-technology-and-science?season=6","unknown","","","[WHAT]
A prototype for the future of artistic publishing, where science and technology serves culture, and where art actively shapes how knowledge is produced, owned, and shared.

[IMPACT]
By bringing together art, nature, technology & science from local perspectives, valuing indigenous, non-Western knowledge, challenging dominant global narratives, and helping communities tell their own stories, fairly, ethically, on their own terms.

[PROGRESS]
ANTS is part of a larger initiative called Meta Gallery, a technology-based art space launched in Rio. We have validated the curatorial vision, tested tech driven exhibition models & built an active network of artists, researchers, and institutions.

[WHY]
I bring over two decades of experience across contemporary art, digital culture, and curatorship. I have led exhibitions & institutions that connect art, technology, and critical theory bridging concept to reality.","","Art journal","Knowledge equity","Network","Curator","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0006","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00007","DSPJ-0007","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Mussa Coral Fest","","","","https://artizen.fund/index/p/mussa-coral-fest-1?season=6","unknown","","","[WHAT]
We are creating joyful ocean festivals and cultural gatherings that blend music, art, science, and storytelling. Through Web3, we are beginning to translate these experiences into digital collectibles and on-chain cultural records that preserve ocean

[IMPACT]
Mussa helps people reconnect with the ocean through culture and shared experiences. By gradually integrating blockchain tools, we aim to make ocean stories, artistic expressions, and community participation more transparent, traceable, and collective

[PROGRESS]
We have produced 11 ocean cultural events, reaching 1,000+ people. Our first anniversary featured 80+ artists, building a community around ocean art, music, science, and coral reefs, and laying the groundwork for future on-chain cultural records

[WHY]
We are marine scientists and cultural producers with 20+ years of experience in coral reef conservation and event production, working at the intersection of science, art, and community while exploring Web3 for cultural memory and collective impact","","Ocean festival","Culture impact","11 events","Team","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0007","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00008","DSPJ-0008","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","OpenVenom","","","","https://artizen.fund/index/p/telsons-biotechai--data-pharmacom?season=6","unknown","","","[WHAT]
We are building a blockchain-based Data Lake with evidence from Tityus serrulatus venom. A predictive AI Matrix will analyze this data to identify biopharmaceuticals and bio-inputs, accelerating discoveries via open validation all compiled scientifi

[IMPACT]
We are converting a health problem (scorpion stings) into a solution. We democratized bioprospecting via DeSci, reducing drug costs and creating sustainable and regenerate agricultural ecosystems. It's not just a laboratory, it's a protocol coletive.

[PROGRESS]
We defined the Predictive AI architecture and the design of Bio-Oracles for data validation. We consolidated the theoretical basis Deep Tech Telsons and the DAO governance model to ensure ethics and compliance in biodiversity exploration in IA-ML-DL.

[WHY]
We bring together data scientists, biotechnologists, and Web3 experts. We have the technical ""viability"" and ethical vision to transform Brazilian biodiversity into open science digital assets, overcoming the barriers of ""Big Pharma"" Open Bio Oracle.","","AI biotech","Drug discovery","Design","Bio team","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0008","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00009","DSPJ-0009","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Ejochi Vitality","","","","https://artizen.fund/index/p/ejochi-vitality","unknown","","","[WHAT]
We’re studying special African plants that people boost energy and vitality. We test them in the lab like a science detective checking what’s inside, what they do, and if they’re safe. We’ll share the ‘how-to’ so others can confirm it

[IMPACT]
The African Scientist Hub is turning African botanicals into trusted, measurable science. By validating S. jollyanum and E. longifolia and releasing open datasets + reproducible methods, we can accelerate better men’s health tools andcreate  value.

[PROGRESS]
Framework + SOPs drafted, with deck + manuscript ready. Presented in DeSci spaces, began partnerships, and opened talks with Bio Protocol, Molecule, and VitaDAO while building African Scientist Hub which is the research pipeline.

[WHY]
Biomedical Scientist with hands-on diagnostics and botanical research experience, building The African Scientist Hub to turn African bioactives into trusted, reproducible science. I blend lab rigor with DeSci tools to make the work auditable","","Bioactive research","Health impact","Framework","Biomedical","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0009","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
"DSPT-00010","DSPJ-0010","FR-ART-S6","Artizen","Spark DeSci","Spark DeSci","Season 6","Solar Village","","","","https://artizen.fund/index/p/solar-village?season=6","unknown","","","[WHAT]
We are powering little solar mini-grids for remote villages. They catch sunshine and turn it into electricity so homes, schools, and shops can have lights and power every day.

[IMPACT]
Solar Village brings clean power to communities without electricity, helping kids study, businesses grow. We reduce pollution and reliance on charcoal stoves and diesel generators, all while building stronger, self-reliant local economies.

[PROGRESS]
We’ve partnered with UNDP, local governments and a few mini-grid operators. We have designed our energy data platform, selected 23 pilot sites in Nigeria, and are working with global partners on transparent reporting and carbon credit readiness.

[WHY]
We have a strong team that combine energy systems knowledge, local partnerships, and mission-driven leadership, with hands-on experience building real infrastructure that puts communities first, not extractive energy models.","","Solar grids","Clean energy","Pilots","Energy team","","","","","","","","","not_collected","","","","","False","unknown","confirmed","DSPJ-0010","existing_v1_archive","2026-06-16","","","2026/5/10","2026/5/10","{}"
