"project_entity_id","canonical_project_name","aliases","website","project_twitter","project_github","user_github","payout_addresses","project_type","domain","function","region","project_status","classification_status","match_status","confirmed_by","confirmed_at","notes","created_at_source","last_edited_source"
"DSPJ-0001","Edge Esmeralda Vital Futures Track",,,,,,,"Community","Biotech / Health","Community Building, Experimentation, Knowledge Sharing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0002","Narrative Audits for Public-Goods",,,,,,,"Media / Narrative","Social / Community","Coordination, Knowledge Sharing, Storytelling",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0003","LLM Evaluators in PGF",,,,,,,"Research","AI / Data","Automation, Evaluation, Funding",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0004","DeSci Bridge",,,,,,,"Platform","Social / Community","Community Building, Knowledge Sharing, Onboarding",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0005","hyvmind",,,,,,,"Platform","AI / Data","Coordination, Data Infrastructure, Knowledge Sharing",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0006","ANTS Journal",,,,,,,"Media / Narrative","Art / Culture","Knowledge Sharing, Publishing, Storytelling",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0007","Mussa Coral Fest",,,,,,,"Media / Narrative","Ocean / Marine","Community Building, Education, Storytelling",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0008","OpenVenom",,,,,,,"Research","Biotech / Health","Data Infrastructure, Experimentation, Research Generation",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0009","Ejochi Vitality",,,,,,,"Research","Biotech / Health","Data Collection, Knowledge Sharing, Research Generation",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
"DSPJ-0010","Solar Village",,,,,,,"Infrastructure","Environment / Climate","Community Building, Data Collection, Infrastructure",,"unknown","provisional","confirmed","existing_v1_archive","2026-06-16","Imported from Spark S6 V1 archive. Artizen application URL is stored on the participation record, not as project website.","2026/5/10","2026/5/10"
