"donation_id","source_donation_id","funding_round_id","participation_id","project_entity_id","source_project_id","source_application_id","round_source_id","token_address","donor_wallet","grant_address","amount_raw","amount_usd","coefficient","status","score_type","success","raw_score","threshold","last_score_timestamp","source_platform"
"DSEV-0000001","0x4216b90dded9708426ef4c24f3d13c18a8844f39fed108988b4cf9f28ea84aa6","FR-GTC-GG23-DESCI","DSPT-00064","DSPJ-0056","0x6459abc222dbda2acddcd945cd5d1be0f46f411b0d34a9382abe966c937b0555","21","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x1b3fd358c66974572cd7c77b5be7759c67c178b1","0xCc20705E675889c6222e0878581a25aa1eFF3DB0","3.7E+20","104.8914","0","DONE","ThresholdScoreCheck","TRUE","38.419","20","2024-11-16T19:11:01.542Z","Gitcoin"
"DSEV-0000002","0xf7bab790fadb105b069da6e0b9c4c16f68f4bfbe39ab0c785d919a83e51229be","FR-GTC-GG23-DESCI","DSPT-00057","DSPJ-0052","0xf12e32cfadf6ae81f997cc9e3d9fe8e435589e3003408f536034e682aae3dd88","11","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x77e5995286a8552773fe08507afece3aae582bfa","0xAd86Bb16d1b74FfAbb9Fc668B83251F831763247","3.5E+20","100.635","1","","","","","","","Gitcoin"
"DSEV-0000003","0x5a55f178d21d8f356d8e1a60049577ea7f321ece1cdd1082d5f9a9416e298cdf","FR-GTC-GG23-DESCI","DSPT-00064","DSPJ-0056","0x6459abc222dbda2acddcd945cd5d1be0f46f411b0d34a9382abe966c937b0555","21","28","0x4F604735c1cF31399C6E711D5962b2B3E0225AD3","0x7d85fcbb505d48e6176483733b62b51704e0bf95","0xCc20705E675889c6222e0878581a25aa1eFF3DB0","9.9964E+19","99.90511","0","DONE","ThresholdScoreCheck","TRUE","48.785","20","2025-04-06T19:09:42.932Z","Gitcoin"
"DSEV-0000004","0x51cdedb7eb67780237c622b28330737105b49608ef0ae140dcc962f7a84d2f06","FR-GTC-GG23-DESCI","DSPT-00064","DSPJ-0056","0x6459abc222dbda2acddcd945cd5d1be0f46f411b0d34a9382abe966c937b0555","21","28","0x4F604735c1cF31399C6E711D5962b2B3E0225AD3","0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2","0xCc20705E675889c6222e0878581a25aa1eFF3DB0","6E+19","60.00359","0","DONE","ThresholdScoreCheck","TRUE","20.635","20","2025-04-04T08:00:02.610Z","Gitcoin"
"DSEV-0000005","0xe0764d65b01ee8279391ba76ccfb891e6cc708a464a50d1b57c6dcf75c53ae04","FR-GTC-GG23-DESCI","DSPT-00069","DSPJ-0060","0xa49a05812014de4fe8b6612d519817b2571ec788ee2e13f6d7f43b770a6559f9","29","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0xc3f836ec06a2202af23e59997a613ca0722f35d1","0x57f4DEDEaF32A4C4A7972fC47A44596989df4264","5.6E+19","15.94571","1","DONE","ThresholdScoreCheck","TRUE","31.851","20","2024-07-01T03:33:08.732Z","Gitcoin"
"DSEV-0000006","0xc538a4e079e7873a0388162d84bd6d76fa4f11e37ca14e7f1a7ef535f7196b17","FR-GTC-GG23-DESCI","DSPT-00057","DSPJ-0052","0xf12e32cfadf6ae81f997cc9e3d9fe8e435589e3003408f536034e682aae3dd88","11","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x52fea4dd6277e183e6d1a79aa305f5e6fef90dc0","0xAd86Bb16d1b74FfAbb9Fc668B83251F831763247","4E+19","10.45977","1","DONE","ThresholdScoreCheck","TRUE","59.171","20","2024-10-30T18:16:55.883Z","Gitcoin"
"DSEV-0000007","0xfd22df611d62ce3f4d9ffa0a9ae4b41a6279381546bba77416423e15821f0b06","FR-GTC-GG23-DESCI","DSPT-00054","DSPJ-0043","0x1e02a0e04d50cf883c942415cdcd5fb184300a91f4bc84eb583cebaad56ff7eb","6","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x1258b93cc472ebe7d97d16947ab82a7189b4dee2","0x1a86E43939fEF6234b353AB6606F0b56475420dC","3.5E+19","10.05707","1","DONE","ThresholdScoreCheck","FALSE","2.021","20","2024-04-24T02:09:14.180Z","Gitcoin"
"DSEV-0000008","0xf53908311e1c6f4659ab956e0f118d09a9e6d6bd94d5c41e8ec8cc8435f9e13c","FR-GTC-GG23-DESCI","DSPT-00052","DSPJ-0050","0x9a9cda60bcd1b566669a6e03d79dcea4be966ebdef25dc9754cbd4170e99c61f","4","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x1b3fd358c66974572cd7c77b5be7759c67c178b1","0x40891ce6e8574bb9118913a8a304195437f36213","2.9E+19","8.221216","1","DONE","ThresholdScoreCheck","TRUE","38.419","20","2024-11-16T19:11:01.542Z","Gitcoin"
"DSEV-0000009","0xa77460aa3023ad182f5c2bbb802d20cc50211e0224be8f78c6c5a179a3422a80","FR-GTC-GG23-DESCI","DSPT-00065","DSPJ-0057","0xde76b334b3b417606e8e8c053ae6cfc1b6a2b187805498034d2444d410e9ed10","22","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0xa829cfd0a0ba3ef42561b9276147c25382aeb801","0xF2e4a33BA8963372d95c061d2592A212E57287F5","2E+19","5.856992","1","DONE","ThresholdScoreCheck","TRUE","45.025","20","2025-03-23T14:45:17.539Z","Gitcoin"
"DSEV-0000010","0x6bb3ec56fbda1cf107437b50e2554e9993bc09656dddcd40c4c5aec9be0c9ce0","FR-GTC-GG23-DESCI","DSPT-00057","DSPJ-0052","0xf12e32cfadf6ae81f997cc9e3d9fe8e435589e3003408f536034e682aae3dd88","11","28","0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE","0x884ff907d5fb8bae239b64aa8ad18ba3f8196038","0xAd86Bb16d1b74FfAbb9Fc668B83251F831763247","2E+19","5.576583","1","DONE","ThresholdScoreCheck","TRUE","46.494","20","2025-04-02T22:09:23.798Z","Gitcoin"
