"donor_id","wallet_address","first_seen_funding_round_id","supported_round_count","supported_project_count","total_donation_event_count","done_event_count","success_true_event_count","success_false_event_count","total_amount_usd_all_events","done_amount_usd","success_true_amount_usd","success_false_amount_usd","notes"
"DSDN-000001","0x02fbdb83a0978dceae735fb93608b77e65fbf9c9","FR-GTC-GG23-DESCI","1","1","1","0","0","0","0.9995","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000002","0x0dba27cfbfac802f0b5ac584d8f268254e8d20df","FR-GTC-GG23-DESCI","1","1","2","2","0","2","1.5998","1.5998","0","1.5998","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000003","0x1258b93cc472ebe7d97d16947ab82a7189b4dee2","FR-GTC-GG23-DESCI","1","1","1","1","0","1","10.0571","10.0571","0","10.0571","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000004","0x13126b6859fb72d3956797d94c99078b40294679","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.9963","0.9963","0","0.9963","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000005","0x1819b8f794358a944b0faedcd466713d5fbac6a1","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.9846","0.9846","0","0.9846","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000006","0x1831570e2145ce1048eb566edb9612ec867aa736","FR-GTC-GG23-DESCI","1","2","2","2","2","0","0.5537","0.5537","0.5537","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000007","0x19439fcdb55a5a16f44d9adeea68670414b3a5c6","FR-GTC-GG23-DESCI","1","10","10","10","0","10","13.0083","13.0083","0","13.0083","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000008","0x1b3fd358c66974572cd7c77b5be7759c67c178b1","FR-GTC-GG23-DESCI","1","2","2","2","2","0","113.1126","113.1126","113.1126","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000009","0x1e0c997bf4ed17e058edff20a6784c71f4e8b094","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.0938","0.0938","0","0.0938","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000010","0x255f7d91b2dddabbe044c64840460a1b7285ad5f","FR-GTC-GG23-DESCI","1","1","1","1","1","0","1.1876","1.1876","1.1876","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000011","0x26aaa395cc85032976ecf986c9c30d8fb7485f2f","FR-GTC-GG23-DESCI","1","7","7","7","7","0","4.0141","4.0141","4.0141","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000012","0x28124c4905968d4e1d17096d790b1275078a312f","FR-GTC-GG23-DESCI","1","1","1","1","0","1","0.5238","0.5238","0","0.5238","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000013","0x29ee09bd0f7f41ecd083ad2708df17691065790b","FR-GTC-GG23-DESCI","1","3","3","3","3","0","1.5903","1.5903","1.5903","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000014","0x2aa64e6d80390f5c017f0313cb908051be2fd35e","FR-GTC-GG23-DESCI","1","6","6","6","6","0","10.0737","10.0737","10.0737","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000015","0x2c1d64ca07e66f2370b1b03f57731ddfbcb9f851","FR-GTC-GG23-DESCI","1","2","2","2","0","2","2.1028","2.1028","0","2.1028","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000016","0x2c60efd9558aeec0653dc309534e83ef8275100e","FR-GTC-GG23-DESCI","1","1","1","0","0","0","1.0344","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000017","0x2dcd860489cd099fb966d1729f890b8c5c997908","FR-GTC-GG23-DESCI","1","1","1","1","0","1","1.4016","1.4016","0","1.4016","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000018","0x2f5028d1d94e6df2a3e633d2287bb4c0abf24001","FR-GTC-GG23-DESCI","1","1","1","0","0","0","2.359","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000019","0x31cd90c2788f3e390d2bb72871f5ad3f1a4b22a1","FR-GTC-GG23-DESCI","1","21","21","21","0","21","41.9535","41.9535","0","41.9535","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000020","0x3bdc2d359fdf12314db4d906d66960d021dbde86","FR-GTC-GG23-DESCI","1","1","1","0","0","0","2.0388","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000021","0x3ffc07ed6a65e379e39bef93e713ee3ff77a56e4","FR-GTC-GG23-DESCI","1","1","1","1","1","0","0.0914","0.0914","0.0914","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000022","0x461acd846b4cc249b96242f1ab7c72a39d94747c","FR-GTC-GG23-DESCI","1","1","1","1","1","0","1.1099","1.1099","1.1099","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000023","0x475eaa9b5386f2fd85d821cf72eec45fe7e4c09a","FR-GTC-GG23-DESCI","1","1","1","1","0","1","2.0021","2.0021","0","2.0021","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000024","0x4768aff7cc785f6350c6c7d86d46399a435121fc","FR-GTC-GG23-DESCI","1","3","3","0","0","0","0.403","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000025","0x47ac438004d39518792eb96f743a4b952e8462fe","FR-GTC-GG23-DESCI","1","2","2","2","0","2","2.0013","2.0013","0","2.0013","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000026","0x481e49dcf177123aeea8279859cf38455b9005bb","FR-GTC-GG23-DESCI","1","1","1","0","0","0","0.1409","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000027","0x4d5b28d08e8c00e041053b0dc584e00e6997daa3","FR-GTC-GG23-DESCI","1","20","20","20","20","0","8.3784","8.3784","8.3784","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000028","0x4e3fa88b8422e61667b0cf254847fb670acf407b","FR-GTC-GG23-DESCI","1","1","1","1","0","1","1.1783","1.1783","0","1.1783","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000029","0x50418699cb44bfda9c9afc9b7a0b0d244d8927d2","FR-GTC-GG23-DESCI","1","8","8","8","8","0","74.0044","74.0044","74.0044","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000030","0x52fea4dd6277e183e6d1a79aa305f5e6fef90dc0","FR-GTC-GG23-DESCI","1","1","1","1","1","0","10.4598","10.4598","10.4598","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000031","0x541bc672d1505bf9991cfe7ba51cb60373306590","FR-GTC-GG23-DESCI","1","1","1","1","0","1","1.0192","1.0192","0","1.0192","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000032","0x59041d70deaefe849a48e77e0b273ddd072ea9e4","FR-GTC-GG23-DESCI","1","19","19","19","19","0","2.8953","2.8953","2.8953","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000033","0x59dda36bd196ec849838ce2163e6821f946b37dc","FR-GTC-GG23-DESCI","1","6","6","6","6","0","14.9831","14.9831","14.9831","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000034","0x5eefb9f7c1233f7d1be0ca7e806b04776fe130ca","FR-GTC-GG23-DESCI","1","6","6","0","0","0","32.86","0","0","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000035","0x63757e9c621ae7963f2db2c7f02a1cdd89d6375d","FR-GTC-GG23-DESCI","1","4","4","4","0","4","9.1899","9.1899","0","9.1899","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
"DSDN-000036","0x6376e21fef600c53ea6e10cdc473e584c8382521","FR-GTC-GG23-DESCI","1","1","1","1","1","0","0.0151","0.0151","0.0151","0","Draft donor record generated from complete Gitcoin GG23 donation source. Includes all events, including failed and blank-status rows."
