"match_candidate_id","gg23_participation_id","gg23_source_application_id","gg23_source_project_id","gg23_project_name","gg23_website","gg23_project_twitter","gg23_project_github","gg23_user_github","gg23_payout_address","spark_candidate_project_entity_id","spark_candidate_project_name","match_basis","match_confidence","match_status","confirmed_by","confirmed_at","match_notes"
"MATCH-GG23-001","DSPT-00050","1","0x259f07aac8cd509f6d85fa895ce31b9573bb0f93d0999ae42492ee2f24dc995e","DeSci Asia","https://twitter.com/desciasia/","DeSciAsia","DeSci-Asia","Swiftevo","0xCc5437c25caD0b23Dd88118d054DA19dBEc52CEA","DSPJ-0029","DeSci Asia","manual_seed_exact_name","0.99","confirmed","Swift Evo","2026-06-25","GG23 DeSci Asia exact name match with Spark DeSci Asia."
"MATCH-GG23-003","DSPT-00051","3","0x35f9aece09f098592799f02d72f26fa17199d9c56b33d06baf457d3c079eb9aa","FunDeSci (DeSci Fundraising platfrom)","https://app.fundesci.com","Fundesci","","","0x7892e0143dD30e8594E0be83367Da43A1D7DB22A","DSPJ-0049","FunDeSci","manual_seed_name_contains","0.95","confirmed","Swift Evo","2026-06-25","GG23 FunDeSci title contains Spark FunDeSci."
"MATCH-GG23-004","DSPT-00052","4","0x9a9cda60bcd1b566669a6e03d79dcea4be966ebdef25dc9754cbd4170e99c61f","LunCo: Metaverse for Space Engineers","https://lunco.space/","LunCoSim","LunCoSim","Difint","0x40891ce6e8574bb9118913a8a304195437f36213","DSPJ-0028","LORS","related_project_parent_child","0.7","new_project","Swift Evo","2026-06-25","Related but not the same canonical project. LORS is one of LunCo projects; in Spark, LunCo did not directly participate and LORS participated under its own profile. Keep LunCo as a new project while preserving relation to LORS."
"MATCH-GG23-005","DSPT-00053","5","0x679eb72b7da72b6129c1bb59a5b3345d9dad0dfc459e9fae5e699196694dba84","DeSci Youths","https://gap.karmahq.xyz/project/desci-youths","desciyouths","","","0xd9e744b474efa7a09F76baf24D3322e367DB85F6","","","token_jaccard","0.3333","new_project","Swift Evo","2026-06-25","No strong Spark S6 candidate found by name similarity."
"MATCH-GG23-006","DSPT-00054","6","0x1e02a0e04d50cf883c942415cdcd5fb184300a91f4bc84eb583cebaad56ff7eb","MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools","https://linktr.ee/mesoreefdao","MesoReefDAO","MesoReefDAO","robioreefeco","0x1a86E43939fEF6234b353AB6606F0b56475420dC","DSPJ-0043","Regen Reef Fish","manual_confirmation","1","confirmed","Swift Evo","2026-06-28","I think this may overlap with [MesoReefDAO], Same founder/team/same slide deck in application"
"MATCH-GG23-008","DSPT-00055","8","0xae22739594e490cb7b044c4be01411a73e0c6b730c8edcf74a897478d06f8f5d","AsteriskDAO","https://asteriskdao.xyz","asteriskdao","AsteriskDAO","vmkirin","0x1305fAb828dACE590FF466680ba9B0349f50674C","DSPJ-0045","Asterisk Women Health","manual_confirmation","0.62","confirmed","Swift Evo","2026-06-28","GG23 AsteriskDAO may relate to Spark Asterisk Women Health by Asterisk naming, but identity requires human confirmation. They are the same project as same founder and mentioned about the same website of AsteriskDAO too"
"MATCH-GG23-009","DSPT-00056","9","0x6b947b5d6e57b03e835f56985a74c33a62d4d3cadf0e15441a86277ab3142f76","The DeSci Journals v4 (Celo)","https://platform.desci.reviews","desciers","deScier","GoretiFreitas","0x9b9dbC177fbE6A32bBc92A44B04B5d6711e151de","DSPJ-0040","DeSci Reviews","manual_confirmation","0.78","confirmed","Swift Evo","2026-06-28","GG23 The DeSci Journals v4 likely relates to Spark DeSci Reviews / The DeSci Journals; requires human confirmation. Same twitter handler: @desciers"
"MATCH-GG23-011","DSPT-00057","11","0xf12e32cfadf6ae81f997cc9e3d9fe8e435589e3003408f536034e682aae3dd88","Astral","https://astral.global","AstralProtocol","AstralProtocol","johnx25bd","0xAd86Bb16d1b74FfAbb9Fc668B83251F831763247","","","token_jaccard","0","new_project","Swift Evo","2026-06-28","No strong Spark S6 candidate found by name similarity."
"MATCH-GG23-014","DSPT-00058","14","0xa110256c45bff5fb3781ec2681dd1be37a25c4a7c9e8200b6f695ca42889f43f","HyperDeSci Ops | Summoning $MEGAPI","https://hyperdesci.xyz/","HyperDeSci","HyperDeSci","","0x93da5340b7049fFf4a65e5C3146e709a594113c4","DSPJ-0021","CCGF","manual_confirmation","1","confirmed","Swift Evo","2026-06-28","same founder, same slide deck, also with hyperdesci logo"
"MATCH-GG23-015","DSPT-00059","15","0x878e85001221af5cab52d50c488befcba883ee27282fcf8db1811e2366c9dc0b","Hyvmind","https://hyvmind.xyz","anshuman_ecc","","anshuman-ecc-eth/","0x5D21f6803902A93018eCcA706cb3f853aDa1CCd2","DSPJ-0005","hyvmind","manual_seed_case_normalized_name","0.99","confirmed","Swift Evo","2026-06-28","GG23 Hyvmind matches Spark hyvmind after case normalization."
